2019-10-25 21:39:40,773 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.pank.ett:ett-main:0.0.1-SNAPSHOT @ D:\users\bimbo\Panka\workspace\ett-main\pom.xml.
2019-10-25 21:41:16,448 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pank.ett:ett-persistance:0.0.1-SNAPSHOT @ D:\users\bimbo\Panka\workspace\ett-main\ett-persistance\pom.xml.
2019-10-25 21:41:17,928 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ett-persistance/src/main/java
2019-10-25 21:41:17,930 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ett-persistance/src/main/resources
2019-10-25 21:41:17,932 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ett-persistance/src/test/java
2019-10-25 21:41:17,933 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ett-persistance/src/test/resources
2019-10-25 21:41:19,591 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:41:19,601 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:41:19,604 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:41:19,606 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:41:20,756 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.pank.ett:ett-main:0.0.1-SNAPSHOT @ D:\users\bimbo\Panka\workspace\ett-main\pom.xml.
2019-10-25 21:41:22,215 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pank.ett:ett-persistance:0.0.1-SNAPSHOT @ D:\users\bimbo\Panka\workspace\ett-main\ett-persistance\pom.xml.
2019-10-25 21:41:23,202 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:41:23,206 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:41:23,208 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:41:23,211 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:41:37,293 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:41:37,296 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:41:37,300 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:41:37,302 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:41:37,481 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:41:37,485 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:41:37,487 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:41:37,489 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:49:36,937 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:49:36,988 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:49:36,991 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:49:36,995 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:51:13,057 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:51:13,059 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:51:13,061 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-25 21:51:13,062 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-25 21:52:17,408 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
